UID        PID  PPID  C STIME TTY          TIME CMD
root       217     2  0 9月20 ?       00:00:00 [kworker/3:1H]
root       225     2  0 9月20 ?       00:00:00 [kdmflush]
root       227     2  0 9月20 ?       00:00:00 [bioset]
root       270     2  0 9月20 ?       00:00:37 [jbd2/dm-0-8]
root       271     2  0 9月20 ?       00:00:00 [ext4-rsv-conver]
root       312     1  0 9月20 ?       00:00:05 /lib/systemd/systemd-journald
root       324     1  0 9月20 ?       00:00:04 /lib/systemd/systemd-udevd
root       332     1  0 9月20 ?       00:00:00 /sbin/lvmetad -f
root       333     2  0 9月20 ?       00:00:00 [rpciod]
root       334     2  0 9月20 ?       00:00:00 [xprtiod]
root       427     2  0 9月20 ?       00:00:00 [irq/27-mei_me]
root       560     2  0 9月20 ?       00:00:00 [UVM global queu]
root       561     2  0 9月20 ?       00:00:00 [UVM Tools Event]
root       654     2  0 9月20 ?       00:00:00 [led_workqueue]
root       689     2  0 9月20 ?       00:00:00 [kdmflush]
root       690     2  0 9月20 ?       00:00:00 [bioset]
root       770     2  0 9月20 ?       00:00:00 [ext4-rsv-conver]
systemd+   977     1  0 9月20 ?       00:00:00 /lib/systemd/systemd-timesyncd
root      1130     1  0 9月20 ?       00:00:00 /usr/sbin/ModemManager
syslog    1139     1  0 9月20 ?       00:00:01 /usr/sbin/rsyslogd -n
root      1143     1  0 9月20 ?       00:00:13 /usr/lib/accountsservice/accounts-daemon
root      1144     1  0 9月20 ?       00:00:01 /usr/sbin/cron -f
avahi     1149     1  0 9月20 ?       00:10:01 avahi-daemon: running [devtools-vili1.local]
root      1153     1  0 9月20 ?       00:01:01 /usr/lib/snapd/snapd
root      1157     1  0 9月20 ?       00:00:36 /usr/sbin/acpid
message+  1158     1  0 9月20 ?       00:00:15 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi     1295  1149  0 9月20 ?       00:00:00 avahi-daemon: chroot helper
root      1361     2  0 9月20 ?       00:00:00 [iprt-VBoxWQueue]
root      1365     2  0 9月20 ?       00:00:00 [iprt-VBoxTscThr]
root      1378     1  0 9月20 ?       00:00:08 /usr/sbin/NetworkManager --no-daemon
root      1384     1  0 9月20 ?       00:00:01 /lib/systemd/systemd-logind
root      1421  1653  0 19:15 ?        00:00:00 sshd: vili2 [priv]
root      1455     1  0 9月20 ?       00:00:00 /usr/sbin/lightdm
root      1485     1  0 9月20 ?       00:00:02 /usr/lib/policykit-1/polkitd --no-debug
root      1502     1  0 9月20 ?       00:00:35 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
vili2     1532  1421  0 19:15 ?        00:00:00 sshd: vili2@pts/36
vili2     1533  1532  0 19:15 pts/36   00:00:00 -bash
root      1612  1455  3 9月20 tty7    06:59:07 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1653     1  0 9月20 ?       00:00:01 /usr/sbin/sshd -D
root      1655     1  0 9月20 ?       00:42:52 /usr/local/bin/gitlab-runner run --working-directory /home/gitlab-runner --config /etc/gitlab-runner/config.toml --service gitlab-runner --syslog --user gitlab-runner
nx        1722     1  0 9月20 ?       00:02:29 /usr/NX/bin/nxserver.bin --daemon
root      1786     2  0 9月20 ?       00:46:13 [irq/29-nvidia]
root      1787     2  0 9月20 ?       00:00:00 [nvidia]
nvidia-+  1799     1  0 9月20 ?       00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root      1938  1378  0 9月20 ?       00:00:02 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-enp3s0.pid -lf /var/lib/NetworkManager/dhclient-936c62e5-fa26-3f1e-8900-83cab17ee8b9-enp3s0.lease -cf /var/lib/NetworkManager/dhclient-enp3s0.conf enp3s0
nobody    1969  1378  0 9月20 ?       00:00:09 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
rtkit     2224     1  0 9月20 ?       00:00:08 /usr/lib/rtkit/rtkit-daemon
whoopsie  2251     1  0 9月20 ?       00:00:00 /usr/bin/whoopsie -f
root      2267     1  0 9月20 ?       00:25:47 /usr/bin/dockerd -H fd://
root      2317     1  0 9月20 tty1    00:00:00 /sbin/agetty --noclear tty1 linux
root      2351     1  0 9月20 ?       00:02:13 /usr/sbin/automount --pid-file /var/run/autofs.pid
nagios    2353     1  0 9月20 ?       00:00:00 /usr/sbin/nrpe -c /etc/nagios/nrpe.cfg -d
vili2     2412 25961  0 19:25 pts/19   00:00:00 /usr/bin/python /usr/bin/ipython
nagios    2509     1  0 9月20 ?       00:05:36 /usr/sbin/nagios3 -d /etc/nagios3/nagios.cfg
root      2546     1  0 9月20 ?       00:00:28 /usr/sbin/apache2 -k start
root      2618  2267  0 9月20 ?       00:15:51 docker-containerd -l unix:///var/run/docker/libcontainerd/docker-containerd.sock --metrics-interval=0 --start-timeout 2m --state-dir /var/run/docker/libcontainerd/containerd --shim docker-containerd-shim --runtime docker-runc
vili2     2712  4240  0 9月25 pts/28  00:00:00 bash
root      2737  1455  0 9月20 ?       00:00:00 lightdm --session-child 12 21
root      3004     1  0 9月20 ?       00:00:09 /usr/lib/upower/upowerd
vili2     3066     1  0 9月20 ?       00:00:00 /lib/systemd/systemd --user
vili2     3069  3066  0 9月20 ?       00:00:00 (sd-pam)
vili2     3131     1  0 9月20 ?       00:00:05 /usr/bin/gnome-keyring-daemon --daemonize --login
vili2     3147  2737  0 9月20 ?       00:00:02 /sbin/upstart --user
nx        3149  1722  0 9月20 ?       00:00:00 /usr/NX/bin/nxd
root      3261     2  0 19:49 ?        00:00:00 [kworker/2:0]
vili2     3266  3147  0 9月20 ?       00:00:01 upstart-udev-bridge --daemon --user
vili2     3274  3147  0 9月20 ?       00:00:13 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-uDTPiwhX4m
vili2     3286  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
vili2     3310  3147  0 9月20 ?       00:02:33 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
vili2     3326  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfsd
vili2     3331  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
vili2     3334  3310  0 9月20 ?       00:00:00 /usr/lib/ibus/ibus-dconf
vili2     3335  3310  0 9月20 ?       00:00:18 /usr/lib/ibus/ibus-ui-gtk3
vili2     3342  3147  0 9月20 ?       00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
vili2     3349  3147  0 9月20 ?       00:03:06 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
vili2     3358  3147  0 9月20 ?       00:00:00 upstart-file-bridge --daemon --user
vili2     3360  3147  0 9月20 ?       00:00:04 upstart-dbus-bridge --daemon --session --user --bus-name session
vili2     3361  3147  0 9月20 ?       00:00:02 upstart-dbus-bridge --daemon --system --user --bus-name system
vili2     3367  3147  0 9月20 ?       00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
vili2     3378  3367  0 9月20 ?       00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
vili2     3381  3147  0 9月20 ?       00:00:03 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
vili2     3386  3310  0 9月20 ?       00:00:51 /usr/lib/ibus/ibus-engine-simple
vili2     3389  3147  0 9月20 ?       00:00:24 gpg-agent --homedir /home/vili2/.gnupg --use-standard-socket --daemon
vili2     3399  3147  0 9月20 ?       00:00:02 /usr/lib/x86_64-linux-gnu/hud/hud-service
vili2     3401  3147  0 9月20 ?       00:00:30 /usr/lib/unity-settings-daemon/unity-settings-daemon
vili2     3406  3147  0 9月20 ?       00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
vili2     3414  3147  0 9月20 ?       00:00:39 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
vili2     3433  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
vili2     3434  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
vili2     3437  3147  0 9月20 ?       00:00:05 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
vili2     3438  3147  0 9月20 ?       00:00:11 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
vili2     3439  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
vili2     3440  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
vili2     3441  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
vili2     3444  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
vili2     3463  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
vili2     3494  3147  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-source-registry
vili2     3503  3147  0 9月20 ?       00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
vili2     3508  3147  0 9月20 ?       00:00:00 /usr/lib/dconf/dconf-service
colord    3552     1  0 9月20 ?       00:00:00 /usr/lib/colord/colord
vili2     3577  3147  1 9月20 ?       02:20:50 compiz
vili2     3583  3147  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-calendar-factory
vili2     3629  3406  0 9月20 ?       00:00:00 nm-applet
vili2     3642  3406  6 9月20 ?       13:56:40 /usr/lib/vino/vino-server --sm-disable
vili2     3644  3406  0 9月20 ?       00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
vili2     3648  3406  0 9月20 ?       00:00:27 /usr/bin/gnome-software --gapplication-service
vili2     3840  3406  0 9月20 ?       00:00:24 nautilus -n
vili2     3843  3583  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3583x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3583/2
vili2     3844  3406  0 9月20 ?       00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
vili2     3875  3147  0 9月20 ?       00:00:04 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
vili2     3895  3147  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-addressbook-factory
vili2     3899  3583  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3583x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3583/3
root      3915     1  0 9月20 ?       00:02:16 /usr/lib/udisks2/udisksd --no-debug
vili2     3945  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
vili2     3955  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
vili2     3964  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
vili2     3975  3895  0 9月20 ?       00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3895x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3895/2
vili2     3986  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
root      4085     2  0 20:09 ?        00:00:00 [kworker/0:3]
root      4105  2618  0 9月20 ?       00:00:00 docker-containerd-shim e621bc1e972c81b85aa570627b3f75f4ac53ec6cb3003a2c10a347151bee38f8 /var/run/docker/libcontainerd/e621bc1e972c81b85aa570627b3f75f4ac53ec6cb3003a2c10a347151bee38f8 docker-runc
vili2     4118  3147  0 9月20 ?       00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
root      4149  4105  0 9月20 ?       00:00:00 /usr/bin/dumb-init /entrypoint run --user=gitlab-runner --working-directory=/home/gitlab-runner
root      4198  4149  0 9月20 ?       00:46:59 gitlab-runner run --user=gitlab-runner --working-directory=/home/gitlab-runner
vili2     4240  3147  0 9月20 ?       00:04:14 /usr/lib/gnome-terminal/gnome-terminal-server
root      4244     2  0 20:14 ?        00:00:00 [kworker/2:2]
vili2     4246  4240  0 9月20 pts/17  00:00:01 bash
root      4254     2  0 20:14 ?        00:00:00 [kworker/3:1]
vili2     4373  4240  0 9月25 pts/29  00:00:00 bash
vili2     4415  3147  0 9月20 ?       00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
vili2     4422  4415  0 9月20 ?       00:00:00 /usr/bin/zeitgeist-daemon
vili2     4429  3147  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
vili2     4431  3147  0 9月20 ?       00:00:11 zeitgeist-datahub
root      4456     2  0 9月20 ?       00:00:00 [cifsiod]
root      4457     2  0 9月20 ?       00:00:00 [cifsoplockd]
vili2     4718  3406  0 9月20 ?       00:00:14 update-notifier
root      4770  2618  0 9月20 ?       00:00:00 docker-containerd-shim e621bc1e972c81b85aa570627b3f75f4ac53ec6cb3003a2c10a347151bee38f8 /var/run/docker/libcontainerd/e621bc1e972c81b85aa570627b3f75f4ac53ec6cb3003a2c10a347151bee38f8 docker-runc
root      4788  4770  0 9月20 ?       00:00:00 /bin/bash
root      4907  4149  0 9月20 ?       00:46:35 /usr/bin/gitlab-runner run --working-directory /home/gitlab-runner --config /etc/gitlab-runner/config.toml --service gitlab-runner --syslog --user gitlab-runner
vili2     4908  3406  0 9月20 ?       00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      4981     2  0 20:29 ?        00:00:00 [kworker/0:1]
root      5121     2  0 20:34 ?        00:00:00 [kworker/3:2]
root      5141     2  0 20:35 ?        00:00:00 [kworker/u8:1]
root      5161     2  0 20:36 ?        00:00:00 [kworker/1:1]
vili2     5203  9991  0 9月27 pts/24  00:02:26 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8166109962723165540,8907608424217149466,131072 --service-pipe-token=D1E514560FB615CC2D88B200A825C244 --lang=en-US --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c, --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --enable-gpu-async-worker-context --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --disable-accelerated-video-decode --service-request-channel-token=D1E514560FB615CC2D88B200A825C244 --renderer-client-id=7590 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101,v8_snapshot_data:102
root      5388     2  0 20:42 ?        00:00:00 [kworker/u8:0]
root      5411     2  0 20:43 ?        00:00:00 [kworker/1:2]
root      5466     2  0 20:44 ?        00:00:00 [kworker/3:0]
vili2     5510  7339  0 20:46 pts/17   00:00:00 sleep 300
www-data  5527  2546  0 07:35 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  5528  2546  0 07:35 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  5529  2546  0 07:35 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  5530  2546  0 07:35 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  5531  2546  0 07:35 ?        00:00:00 /usr/sbin/apache2 -k start
root      5533  1653  0 20:47 ?        00:00:00 sshd: vili2 [priv]
root      5574     1  0 07:35 ?        00:00:00 /usr/sbin/cupsd -l
root      5575     1  0 07:35 ?        00:00:00 /usr/sbin/cups-browsed
vili2     5647  5533  0 20:47 ?        00:00:00 sshd: vili2@pts/40
vili2     5648  5647  0 20:47 pts/40   00:00:00 -bash
vili2     5866 20830  0 9月28 pts/38  00:00:01 vim bash.maps
root      5971     2  0 20:47 ?        00:00:00 [kworker/u8:2]
vili2     6236  3147  1 9月22 ?       02:24:15 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
vili2     6250  5648  0 20:49 pts/40   00:00:00 ps -ef
vili2     6960  4240  0 9月25 pts/30  00:00:00 bash
vili2     7088  3147  0 9月20 pts/17  00:00:34 python dailyfogbugz.py --token=2eft3u7ljf0ialm6qdgt0e0328a66b
vili2     7128  6960  0 9月25 pts/30  00:00:00 /usr/bin/python /usr/bin/ipython
vili2     7339  4246  0 9月20 pts/17  00:00:01 sh run_googler.sh
root      7736  2267  0 9月20 ?       00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 49326 -container-ip 172.17.0.3 -container-port 5900
root      7748  2267  0 9月20 ?       00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 4444 -container-ip 172.17.0.3 -container-port 4444
root      7754  2618  0 9月20 ?       00:00:00 docker-containerd-shim 039fc6c63dba8d34ffb02efa872dfe533903805a136b6c8d7de7f72efbf07094 /var/run/docker/libcontainerd/039fc6c63dba8d34ffb02efa872dfe533903805a136b6c8d7de7f72efbf07094 docker-runc
vili2     7771  7754  0 9月20 ?       00:00:00 /bin/bash /opt/bin/entry_point.sh
vili2     7864  7771  0 9月20 ?       00:00:00 /bin/sh /usr/bin/xvfb-run -n 99 --server-args=-screen 0 1360x1020x24 -ac +extension RANDR java -jar /opt/selenium/selenium-server-standalone.jar
vili2     7878  7864  0 9月20 ?       00:15:10 Xvfb :99 -screen 0 1360x1020x24 -ac +extension RANDR -nolisten tcp -auth /tmp/xvfb-run.hxc3bc/Xauthority
vili2     7892  7864  0 9月20 ?       00:17:26 java -jar /opt/selenium/selenium-server-standalone.jar
vili2     7893  7771  0 9月20 ?       00:03:01 fluxbox -display :99.0
vili2     7894  7771  0 9月20 ?       00:14:24 x11vnc -usepw -forever -shared -rfbport 5900 -display :99.0
vili2     7938  7893  0 9月20 ?       00:00:00 /bin/sh -c x-terminal-emulator -T "Bash" -e /bin/bash --login
vili2     7939  7938  0 9月20 ?       00:00:04 xterm -class UXTerm -title uxterm -u8 -T Bash -e /bin/bash --login
vili2     7944  7939  0 9月20 pts/0   00:00:00 /bin/bash --login
vili2     8446  4240  0 9月27 pts/39  00:00:00 bash
vili2     8473  4240  0 9月21 pts/23  00:00:00 bash
vili2     8992  8473  0 9月21 pts/23  00:00:00 vim 01changeComputerName.pl
vili2     9782  4240  0 9月21 pts/24  00:00:00 bash
vili2     9945  9782  0 9月21 pts/24  01:19:42 /opt/google/chrome/chrome
vili2     9963  9945  0 9月21 pts/24  00:00:00 cat
vili2     9964  9945  0 9月21 pts/24  00:00:00 cat
vili2     9987  9945  0 9月21 pts/24  00:00:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c,
vili2     9988  9987  0 9月21 pts/24  00:00:00 /opt/google/chrome/nacl_helper
vili2     9991  9987  0 9月21 pts/24  00:00:18 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c,
vili2    10048  9945  0 9月21 pts/24  00:30:42 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=8166109962723165540,8907608424217149466,131072 --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c, --dis ated-video-decode --gpu-vendor-id=0x10de --gpu-device-id=0x0dd8 --gpu-driver-vendor=Nvidia --gpu-driver-version=384.130 --gpu-driver-date --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c, --service-request-channel-token=518C98D12C9950027A95DF96A3D2F1D9
vili2    10051 10048  0 9月21 pts/24  00:00:00 /opt/google/chrome/chrome --type=gpu-broker                                                                                                                                          ated-video-decode --gpu-vendor-id=0x10de --gpu-device-id=0x0dd8 --gpu-driver-vendor=Nvidia --gpu-driver-version=384.130 --gpu-driver-date --enable-crash-reporter=119f5fd0-a1e3-461b-9893-eb2dc3daa95c, --service-request-channel-token=518C98D12C9950027A95DF96A3D2F1D9
